"","s.High(5X)","s.Moderately High(3x)","s.Severe(15X)","index","stat","p.value"
"OTU215 ",0,1,0,2,0.671272758493664,0.001998001998002
"OTU254 ",0,0,1,3,0.612756346506426,0.00799200799200799
"OTU311 ",0,1,0,2,0.62729883499,0.004995004995005
"OTU376 ",0,0,1,3,0.698223963126517,0.002997002997003
"OTU544 ",0,1,0,2,0.64124472338903,0.00699300699300699
"OTU592 ",0,1,0,2,0.662351651522621,0.003996003996004
"OTU611 ",0,0,1,3,0.698378111970213,0.000999000999000999
"OTU656 ",0,1,0,2,0.653070884680188,0.00699300699300699
"OTU897 ",0,1,0,2,0.688846875843159,0.00599400599400599
"OTU899 ",0,1,0,2,0.648449392038809,0.003996003996004
"OTU2004",0,1,0,2,0.701700957592769,0.00899100899100899
"OTU2005",0,1,0,2,0.651176870560344,0.004995004995005
"OTU2006",0,1,0,2,0.63275158533213,0.00999000999000999
"OTU2028",0,0,1,3,0.657336903134015,0.00899100899100899
"OTU2030",0,0,1,3,0.621237910839338,0.002997002997003
"OTU2039",0,1,0,2,0.654788675224861,0.00699300699300699
"OTU2040",0,1,0,2,0.638034083037583,0.00999000999000999
"OTU2045",0,1,0,2,0.639696272947749,0.000999000999000999
"OTU2048",0,1,0,2,0.598999408449628,0.00799200799200799
"OTU2151",0,1,0,2,0.617208463833037,0.001998001998002
"OTU2161",0,1,0,2,0.681988576862278,0.004995004995005
"OTU2168",0,1,0,2,0.720683458361631,0.003996003996004
"OTU2172",0,0,1,3,0.686975077771797,0.00899100899100899
"OTU2173",0,1,0,2,0.671167096252613,0.003996003996004
"OTU2367",0,0,1,3,0.714687639367803,0.000999000999000999
"OTU2426",0,0,1,3,0.690441223744017,0.000999000999000999
"OTU2523",0,0,1,3,0.698463883662099,0.001998001998002
"OTU2546",0,0,1,3,0.619274173997196,0.001998001998002
"OTU2846",0,1,0,2,0.606674391552034,0.000999000999000999
"OTU2863",0,1,0,2,0.665820866074948,0.002997002997003
"OTU2955",0,1,0,2,0.712784544872028,0.00699300699300699
"OTU2957",0,1,0,2,0.690558455784029,0.00699300699300699
"OTU2963",0,1,0,2,0.628407243506638,0.002997002997003
"OTU3088",0,0,1,3,0.654473201968103,0.00899100899100899
