OTU_ID,Short_name,Short_name,Taxonomy,Domain,Phylum,Class,Order,Family,Genus
OTU21,(o__SCGC-AAA011-G17) g__,(o__SCGC-AAA011-G17) g__, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;unclassified;, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,unclassified,g__
OTU22,(o__UBA10117) g__ARS21,(o__UBA10117) g__ARS21, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;g__ARS21, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__UBA10117,f__ARS21,g__ARS21
OTU23,(o__UBA10117) unclassified,(o__UBA10117) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__ARS21;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__UBA10117,f__ARS21,unclassified
OTU24,(o__UBA10117) g__,(o__UBA10117) g__, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;unclassified;, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__UBA10117,unclassified,g__
OTU25,(o__Woesearchaeales) unclassified,(o__Woesearchaeales) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__ARS49;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__ARS49,unclassified
OTU26,(o__Woesearchaeales) g__GCA-2686295,(o__Woesearchaeales) g__GCA-2686295, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;g__GCA-2686295, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GCA-2686295,g__GCA-2686295
OTU27,(o__Woesearchaeales) unclassified,(o__Woesearchaeales) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GCA-2686295;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GCA-2686295,unclassified
OTU28,(o__Woesearchaeales) g__GCA-2688775,(o__Woesearchaeales) g__GCA-2688775, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR4;g__GCA-2688775, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011-AR4,g__GCA-2688775
OTU29,(o__Woesearchaeales) unclassified,(o__Woesearchaeales) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR4;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011-AR4,unclassified
OTU30,(o__Woesearchaeales) g__CABZYC01,(o__Woesearchaeales) g__CABZYC01, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR9;g__CABZYC01, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011-AR9,g__CABZYC01
OTU31,(o__Woesearchaeales) unclassified,(o__Woesearchaeales) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011-AR9;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__GW2011-AR9,unclassified
OTU32,(o__Woesearchaeales) g__SKGA01,(o__Woesearchaeales) g__SKGA01, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__SKGA01;g__SKGA01, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__SKGA01,g__SKGA01
OTU33,(o__Woesearchaeales) unclassified,(o__Woesearchaeales) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA11576;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__UBA11576,unclassified
OTU34,(o__Woesearchaeales) g__UBA153,(o__Woesearchaeales) g__UBA153, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA525;g__UBA153, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__UBA525,g__UBA153
OTU35,(o__Woesearchaeales) unclassified,(o__Woesearchaeales) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA525;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__UBA525,unclassified
OTU36,(o__Woesearchaeales) g__UBA583,(o__Woesearchaeales) g__UBA583, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA583;g__UBA583, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__UBA583,g__UBA583
OTU37,(o__Woesearchaeales) g__,(o__Woesearchaeales) g__, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;unclassified;, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,unclassified,g__
OTU38,(unclassified) g__,(unclassified) g__, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;unclassified;, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,unclassified,,g__
OTU39,(o__Poseidoniales) g__MGIIa-K1,(o__Poseidoniales) g__MGIIa-K1, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K1
OTU40,(o__Poseidoniales) g__MGIIa-K2,(o__Poseidoniales) g__MGIIa-K2, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K2, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-K2
OTU41,(o__Poseidoniales) g__MGIIa-L1,(o__Poseidoniales) g__MGIIa-L1, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L1
OTU42,(o__Poseidoniales) g__MGIIa-L2,(o__Poseidoniales) g__MGIIa-L2, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L2, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L2
OTU43,(o__Poseidoniales) g__MGIIa-L3,(o__Poseidoniales) g__MGIIa-L3, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L3, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L3
OTU44,(o__Poseidoniales) g__Poseidonia,(o__Poseidoniales) g__Poseidonia, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__Poseidonia, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__Poseidonia
OTU45,(o__Poseidoniales) unclassified,(o__Poseidoniales) unclassified, d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;unclassified, d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,unclassified
