OTU_ID,Short_name,Short_name,Taxonomy,Domain,Phylum,Class,Order,Family,Genus
OTU232,(o__Bacteriovoracales) g__GCA-2720865,(o__Bacteriovoracales) g__GCA-2720865, d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__GCA-2720865, d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__GCA-2720865
OTU233,(o__Bacteriovoracales) g__Halobacteriovorax,(o__Bacteriovoracales) g__Halobacteriovorax, d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Halobacteriovorax, d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__Halobacteriovorax
OTU234,(o__Bacteriovoracales) g__M0603,(o__Bacteriovoracales) g__M0603, d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__M0603, d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__M0603
OTU235,(o__Bacteriovoracales) g__UBA1511,(o__Bacteriovoracales) g__UBA1511, d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA1511, d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__UBA1511
OTU236,(o__Bacteriovoracales) g__UBA4096,(o__Bacteriovoracales) g__UBA4096, d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA4096, d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__UBA4096
OTU237,(o__Bacteriovoracales) g__UBA7317,(o__Bacteriovoracales) g__UBA7317, d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA7317, d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__UBA7317
OTU238,(o__Bacteriovoracales) g__UBA845,(o__Bacteriovoracales) g__UBA845, d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA845, d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,g__UBA845
OTU239,(o__Bacteriovoracales) unclassified,(o__Bacteriovoracales) unclassified, d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;unclassified, d__Bacteria,p__Bdellovibrionota,c__Bacteriovoracia,o__Bacteriovoracales,f__Bacteriovoracaceae,unclassified
OTU240,(o__Bdellovibrionales) unclassified,(o__Bdellovibrionales) unclassified, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;unclassified, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,unclassified
OTU241,(o__Bdellovibrionales) unclassified,(o__Bdellovibrionales) unclassified, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__UBA1609;unclassified, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__UBA1609,unclassified
OTU242,(o__Bdellovibrionales) g__RBG-16-40-8,(o__Bdellovibrionales) g__RBG-16-40-8, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__UBA6776;g__RBG-16-40-8, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__UBA6776,g__RBG-16-40-8
OTU243,(o__Bdellovibrionales) unclassified,(o__Bdellovibrionales) unclassified, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__UBA6776;unclassified, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__UBA6776,unclassified
OTU244,(o__Bdellovibrionales) g__,(o__Bdellovibrionales) g__, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;unclassified;, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,unclassified,g__
OTU245,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;unclassified;, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,unclassified,,g__
OTU246,(o__UBA1018) unclassified,(o__UBA1018) unclassified, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia_A;o__UBA1018;f__UBA1018;unclassified, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia_A,o__UBA1018,f__UBA1018,unclassified
OTU247,(o__UBA1018) g__,(o__UBA1018) g__, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia_A;o__UBA1018;unclassified;, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia_A,o__UBA1018,unclassified,g__
OTU248,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia_A;unclassified;, d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia_A,unclassified,,g__
OTU249,(o__Oligoflexales) g__JABSRF01,(o__Oligoflexales) g__JABSRF01, d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Bog-1112;g__JABSRF01, d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Bog-1112,g__JABSRF01
OTU250,(o__Oligoflexales) unclassified,(o__Oligoflexales) unclassified, d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Bog-1112;unclassified, d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Bog-1112,unclassified
OTU251,(o__Oligoflexales) g__Pseudobacteriovorax,(o__Oligoflexales) g__Pseudobacteriovorax, d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Oligoflexaceae;g__Pseudobacteriovorax, d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Oligoflexaceae,g__Pseudobacteriovorax
OTU252,(o__Oligoflexales) unclassified,(o__Oligoflexales) unclassified, d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__Oligoflexaceae;unclassified, d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Oligoflexaceae,unclassified
OTU253,(o__Oligoflexales) unclassified,(o__Oligoflexales) unclassified, d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__RGVZ01;unclassified, d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__RGVZ01,unclassified
OTU254,(o__Oligoflexales) g__,(o__Oligoflexales) g__, d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;unclassified;, d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,unclassified,g__
OTU255,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;unclassified;, d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,unclassified,,g__
OTU256,(o__) g__,(o__) g__, d__Bacteria;p__Bdellovibrionota;unclassified;, d__Bacteria,p__Bdellovibrionota,unclassified,o__,,g__
OTU257,(o__UBA2361) g__OMII01,(o__UBA2361) g__OMII01, d__Bacteria;p__Bdellovibrionota_C;c__UBA2361;o__UBA2361;f__OMII01;g__OMII01, d__Bacteria,p__Bdellovibrionota_C,c__UBA2361,o__UBA2361,f__OMII01,g__OMII01
OTU258,(o__UBA2361) g__RFPC01,(o__UBA2361) g__RFPC01, d__Bacteria;p__Bdellovibrionota_C;c__UBA2361;o__UBA2361;f__RFPC01;g__RFPC01, d__Bacteria,p__Bdellovibrionota_C,c__UBA2361,o__UBA2361,f__RFPC01,g__RFPC01
OTU259,(o__UBA2361) g__,(o__UBA2361) g__, d__Bacteria;p__Bdellovibrionota_C;c__UBA2361;o__UBA2361;unclassified;, d__Bacteria,p__Bdellovibrionota_C,c__UBA2361,o__UBA2361,unclassified,g__
OTU260,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Bdellovibrionota_C;c__UBA2361;unclassified;, d__Bacteria,p__Bdellovibrionota_C,c__UBA2361,unclassified,,g__
OTU261,(o__Campylobacterales) g__Aliarcobacter,(o__Campylobacterales) g__Aliarcobacter, d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter, d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Aliarcobacter
OTU262,(o__Campylobacterales) g__Halarcobacter,(o__Campylobacterales) g__Halarcobacter, d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter, d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Halarcobacter
OTU263,(o__Campylobacterales) unclassified,(o__Campylobacterales) unclassified, d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;unclassified, d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,unclassified
OTU264,(o__Campylobacterales) g__Sulfurimonas,(o__Campylobacterales) g__Sulfurimonas, d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas, d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurimonadaceae,g__Sulfurimonas
OTU265,(o__Campylobacterales) unclassified,(o__Campylobacterales) unclassified, d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;unclassified, d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Sulfurimonadaceae,unclassified
OTU266,(o__Campylobacterales) g__,(o__Campylobacterales) g__, d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;unclassified;, d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,unclassified,g__
OTU267,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Campylobacterota;c__Campylobacteria;unclassified;, d__Bacteria,p__Campylobacterota,c__Campylobacteria,unclassified,,g__
OTU268,(o__) g__,(o__) g__, d__Bacteria;p__Campylobacterota;unclassified;, d__Bacteria,p__Campylobacterota,unclassified,o__,,g__
OTU269,(o__Chlamydiales) g__JAACFD01,(o__Chlamydiales) g__JAACFD01, d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__JAACFD01;g__JAACFD01, d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__JAACFD01,g__JAACFD01
OTU270,(o__Chlamydiales) unclassified,(o__Chlamydiales) unclassified, d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;unclassified, d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,unclassified
OTU271,(o__Chlamydiales) g__CAJCHM01,(o__Chlamydiales) g__CAJCHM01, d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__CAJCHM01, d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__Rhabdochlamydiaceae,g__CAJCHM01
OTU272,(o__Chlamydiales) unclassified,(o__Chlamydiales) unclassified, d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;unclassified, d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__Rhabdochlamydiaceae,unclassified
OTU273,(o__Chlamydiales) unclassified,(o__Chlamydiales) unclassified, d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;unclassified, d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__SM23-39,unclassified
OTU274,(o__Chlamydiales) g__,(o__Chlamydiales) g__, d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;unclassified;, d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,unclassified,g__
OTU275,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Chlamydiota;c__Chlamydiia;unclassified;, d__Bacteria,p__Chlamydiota,c__Chlamydiia,unclassified,,g__
OTU276,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Chloroflexota;c__Anaerolineae;unclassified;, d__Bacteria,p__Chloroflexota,c__Anaerolineae,unclassified,,g__
OTU277,(o__Dehalococcoidales) g__,(o__Dehalococcoidales) g__, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;unclassified;, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,unclassified,g__
OTU278,(o__renamed_01) g__NG_08,(o__renamed_01) g__NG_08, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__renamed_01;f__renamed_01;g__NG_08, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__renamed_01,f__renamed_01,g__NG_08
OTU279,(o__UBA1151) g__SHXW01,(o__UBA1151) g__SHXW01, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__SHXW01;g__SHXW01, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__SHXW01,g__SHXW01
OTU280,(o__UBA1151) g__GCA-002700125,(o__UBA1151) g__GCA-002700125, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__TMED-70;g__GCA-002700125, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__TMED-70,g__GCA-002700125
OTU281,(o__UBA1151) g__GCA-002725925,(o__UBA1151) g__GCA-002725925, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__UBA1328;g__GCA-002725925, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__UBA1328,g__GCA-002725925
OTU282,(o__UBA1151) g__UBA1328,(o__UBA1151) g__UBA1328, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__UBA1328;g__UBA1328, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__UBA1328,g__UBA1328
OTU283,(o__UBA1151) unclassified,(o__UBA1151) unclassified, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__UBA1328;unclassified, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__UBA1328,unclassified
OTU284,(o__UBA1151) g__,(o__UBA1151) g__, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;unclassified;, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,unclassified,g__
OTU285,(o__UBA2979) g__SHYQ01,(o__UBA2979) g__SHYQ01, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__UBA2979;g__SHYQ01, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__UBA2979,g__SHYQ01
OTU286,(o__UBA2979) unclassified,(o__UBA2979) unclassified, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__UBA2979;unclassified, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__UBA2979,unclassified
OTU287,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;unclassified;, d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,unclassified,,g__
OTU288,(o__Limnocylindrales) g__Limnocylindrus,(o__Limnocylindrales) g__Limnocylindrus, d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__Limnocylindraceae;g__Limnocylindrus, d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__Limnocylindraceae,g__Limnocylindrus
OTU289,(o__Limnocylindrales) g__,(o__Limnocylindrales) g__, d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;unclassified;, d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,unclassified,g__
OTU290,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Chloroflexota;c__Limnocylindria;unclassified;, d__Bacteria,p__Chloroflexota,c__Limnocylindria,unclassified,,g__
OTU291,(o__) g__,(o__) g__, d__Bacteria;p__Chloroflexota;unclassified;, d__Bacteria,p__Chloroflexota,unclassified,o__,,g__
OTU292,(o__Cyanobacteriales) unclassified,(o__Cyanobacteriales) unclassified, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;unclassified, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Xenococcaceae,unclassified
OTU293,(o__Cyanobacteriales) g__,(o__Cyanobacteriales) g__, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;unclassified;, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,unclassified,g__
OTU294,(o__PCC-6307) g__Prochlorococcus_A,(o__PCC-6307) g__Prochlorococcus_A, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Prochlorococcus_A
OTU295,(o__PCC-6307) g__RCC307,(o__PCC-6307) g__RCC307, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__RCC307, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__RCC307
OTU296,(o__PCC-6307) g__Synechococcus_C,(o__PCC-6307) g__Synechococcus_C, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Synechococcus_C
OTU297,(o__PCC-6307) g__Synechococcus_E,(o__PCC-6307) g__Synechococcus_E, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Synechococcus_E
OTU298,(o__PCC-6307) g__Vulcanococcus,(o__PCC-6307) g__Vulcanococcus, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Vulcanococcus, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,g__Vulcanococcus
OTU299,(o__PCC-6307) unclassified,(o__PCC-6307) unclassified, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;unclassified, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__PCC-6307,f__Cyanobiaceae,unclassified
OTU300,(o__Phormidesmiales) unclassified,(o__Phormidesmiales) unclassified, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;unclassified, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Phormidesmiales,f__Phormidesmiaceae,unclassified
OTU301,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;unclassified;, d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,unclassified,,g__
OTU302,(o__Caenarcaniphilales) g__CAIYXB01,(o__Caenarcaniphilales) g__CAIYXB01, d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Caenarcaniphilales;f__LMEP-6097;g__CAIYXB01, d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Caenarcaniphilales,f__LMEP-6097,g__CAIYXB01
OTU303,(o__Caenarcaniphilales) unclassified,(o__Caenarcaniphilales) unclassified, d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Caenarcaniphilales;f__LMEP-6097;unclassified, d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,o__Caenarcaniphilales,f__LMEP-6097,unclassified
OTU304,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;unclassified;, d__Bacteria,p__Cyanobacteria,c__Vampirovibrionia,unclassified,,g__
OTU305,(o__) g__,(o__) g__, d__Bacteria;p__Cyanobacteria;unclassified;, d__Bacteria,p__Cyanobacteria,unclassified,o__,,g__
OTU306,(o__Deinococcales) unclassified,(o__Deinococcales) unclassified, d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;unclassified, d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Trueperaceae,unclassified
OTU307,(o__Deinococcales) g__,(o__Deinococcales) g__, d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;unclassified;, d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,unclassified,g__
OTU308,(o__Babeliales) g__NG_48,(o__Babeliales) g__NG_48, d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__CAIQNR01;g__NG_48, d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__CAIQNR01,g__NG_48
OTU309,(o__Babeliales) unclassified,(o__Babeliales) unclassified, d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__CAIQNR01;unclassified, d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__CAIQNR01,unclassified
OTU310,(o__Babeliales) g__JACPFN01,(o__Babeliales) g__JACPFN01, d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Chromulinavoraceae;g__JACPFN01, d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Chromulinavoraceae,g__JACPFN01
OTU311,(o__Babeliales) unclassified,(o__Babeliales) unclassified, d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Chromulinavoraceae;unclassified, d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Chromulinavoraceae,unclassified
OTU312,(o__Babeliales) g__,(o__Babeliales) g__, d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;unclassified;, d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,unclassified,g__
OTU313,(o__Desulfobacterales) g__,(o__Desulfobacterales) g__, d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;unclassified;, d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,unclassified,g__
OTU314,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;unclassified;, d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,unclassified,,g__
OTU315,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;unclassified;, d__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,unclassified,,g__
OTU316,(o__) g__,(o__) g__, d__Bacteria;p__Desulfobacterota;unclassified;, d__Bacteria,p__Desulfobacterota,unclassified,o__,,g__
OTU317,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Desulfobacterota_B;c__Binatia;unclassified;, d__Bacteria,p__Desulfobacterota_B,c__Binatia,unclassified,,g__
OTU318,(o__UBA1144) g__TMED126,(o__UBA1144) g__TMED126, d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA1144;f__UBA1144;g__TMED126, d__Bacteria,p__Desulfobacterota_D,c__UBA1144,o__UBA1144,f__UBA1144,g__TMED126
OTU319,(o__UBA1144) unclassified,(o__UBA1144) unclassified, d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA1144;f__UBA1144;unclassified, d__Bacteria,p__Desulfobacterota_D,c__UBA1144,o__UBA1144,f__UBA1144,unclassified
OTU320,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Desulfobacterota_D;c__UBA1144;unclassified;, d__Bacteria,p__Desulfobacterota_D,c__UBA1144,unclassified,,g__
OTU321,(o__Desulfovibrionales) unclassified,(o__Desulfovibrionales) unclassified, d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;unclassified, d__Bacteria,p__Desulfobacterota_I,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,unclassified
OTU322,(o__Desulfovibrionales) g__,(o__Desulfovibrionales) g__, d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;unclassified;, d__Bacteria,p__Desulfobacterota_I,c__Desulfovibrionia,o__Desulfovibrionales,unclassified,g__
OTU323,(o__F11) g__,(o__F11) g__, d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;unclassified;, d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__F11,unclassified,g__
OTU324,(o__UBA1565) g__UBA1565,(o__UBA1565) g__UBA1565, d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__UBA1565, d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__UBA1565,f__UBA1565,g__UBA1565
OTU325,(o__UBA1565) unclassified,(o__UBA1565) unclassified, d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;unclassified, d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__UBA1565,f__UBA1565,unclassified
OTU326,(o__UBA1565) g__,(o__UBA1565) g__, d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;unclassified;, d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__UBA1565,unclassified,g__
OTU327,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;unclassified;, d__Bacteria,p__Elusimicrobiota,c__Elusimicrobia,unclassified,,g__
OTU328,(o__) g__,(o__) g__, d__Bacteria;p__Elusimicrobiota;unclassified;, d__Bacteria,p__Elusimicrobiota,unclassified,o__,,g__
OTU329,(unclassified) g__,(unclassified) g__, d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;unclassified;, d__Bacteria,p__Fibrobacterota,c__Fibrobacteria,unclassified,,g__
OTU330,(o__) g__,(o__) g__, d__Bacteria;p__Fibrobacterota;unclassified;, d__Bacteria,p__Fibrobacterota,unclassified,o__,,g__
OTU331,(o__Acholeplasmatales) g__UBA8290,(o__Acholeplasmatales) g__UBA8290, d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA8290, d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,f__Acholeplasmataceae,g__UBA8290
OTU332,(o__Acholeplasmatales) unclassified,(o__Acholeplasmatales) unclassified, d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;unclassified, d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,f__Acholeplasmataceae,unclassified
OTU333,(o__Acholeplasmatales) g__,(o__Acholeplasmatales) g__, d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;unclassified;, d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,unclassified,g__
