"","s.High(10X)","s.Normal","s.Severe(50X)","index","stat","p.value"
"OTU17  ",0,0,1,3,0.624092272949576,0.000999000999000999
"OTU42  ",0,1,0,2,0.736451253097738,0.000999000999000999
"OTU50  ",0,1,0,2,0.748394310621215,0.000999000999000999
"OTU55  ",0,0,1,3,0.831464167724664,0.000999000999000999
"OTU57  ",0,0,1,3,0.727006651355591,0.000999000999000999
"OTU63  ",0,0,1,3,0.630397975571462,0.000999000999000999
"OTU76  ",0,0,1,3,0.605052555284302,0.000999000999000999
"OTU80  ",0,0,1,3,0.728004959305,0.000999000999000999
"OTU83  ",0,1,0,2,0.627147325112076,0.000999000999000999
"OTU93  ",0,0,1,3,0.64602827467074,0.000999000999000999
"OTU105 ",0,1,0,2,0.660917454725649,0.000999000999000999
"OTU107 ",0,0,1,3,0.659264641171066,0.000999000999000999
"OTU155 ",0,1,0,2,0.645186432460805,0.000999000999000999
"OTU156 ",1,0,0,1,0.594883062913283,0.000999000999000999
"OTU157 ",0,1,0,2,0.765679477100964,0.000999000999000999
"OTU174 ",0,1,0,2,0.706879532085446,0.000999000999000999
"OTU175 ",0,1,0,2,0.600598864683495,0.000999000999000999
"OTU182 ",0,0,1,3,0.728560500465526,0.000999000999000999
"OTU215 ",0,1,0,2,0.623124992786993,0.000999000999000999
"OTU219 ",0,1,0,2,0.730343822464539,0.000999000999000999
"OTU287 ",0,0,1,3,0.709811742205897,0.000999000999000999
"OTU295 ",0,1,0,2,0.79019630222607,0.000999000999000999
"OTU297 ",0,1,0,2,0.715751334363657,0.000999000999000999
"OTU299 ",0,1,0,2,0.658446303122763,0.000999000999000999
"OTU301 ",0,1,0,2,0.629723508374164,0.000999000999000999
"OTU318 ",1,0,0,1,0.752210932683224,0.000999000999000999
"OTU339 ",0,1,0,2,0.593243504335707,0.000999000999000999
"OTU345 ",0,1,0,2,0.613159780025877,0.000999000999000999
"OTU571 ",0,0,1,3,0.6447611586873,0.000999000999000999
"OTU573 ",0,0,1,3,0.632088457646504,0.000999000999000999
"OTU586 ",0,0,1,3,0.608207818253965,0.000999000999000999
"OTU587 ",0,0,1,3,0.602644160038614,0.000999000999000999
"OTU606 ",0,0,1,3,0.753780403301299,0.000999000999000999
"OTU642 ",0,1,0,2,0.600523203671563,0.000999000999000999
"OTU648 ",1,0,0,1,0.691696045525649,0.000999000999000999
"OTU668 ",1,0,0,1,0.667360045081784,0.000999000999000999
"OTU689 ",1,0,0,1,0.626723558222782,0.000999000999000999
"OTU690 ",0,0,1,3,0.7670773674387,0.000999000999000999
