"","s.High(10X)","s.Normal","s.Severe(50X)","index","stat","p.value"
"OTU693 ",0,1,0,2,0.740056872058826,0.000999000999000999
"OTU699 ",0,1,0,2,0.680721304056829,0.000999000999000999
"OTU706 ",0,0,1,3,0.609856272850788,0.000999000999000999
"OTU707 ",0,0,1,3,0.757736502172052,0.000999000999000999
"OTU711 ",1,0,0,1,0.595164266581181,0.000999000999000999
"OTU712 ",0,1,0,2,0.638906985804567,0.000999000999000999
"OTU713 ",0,0,1,3,0.680464526412631,0.000999000999000999
"OTU721 ",0,1,0,2,0.615584722819198,0.000999000999000999
"OTU729 ",0,1,0,2,0.669552254819414,0.000999000999000999
"OTU730 ",0,1,0,2,0.707127608197277,0.000999000999000999
"OTU734 ",0,1,0,2,0.704293281109793,0.000999000999000999
"OTU753 ",0,0,1,3,0.605437884699758,0.000999000999000999
"OTU768 ",0,1,0,2,0.613126660448804,0.000999000999000999
"OTU772 ",0,1,0,2,0.667351055154767,0.000999000999000999
"OTU774 ",0,1,0,2,0.732515829915679,0.000999000999000999
"OTU775 ",0,0,1,3,0.792969886143486,0.000999000999000999
"OTU781 ",0,1,0,2,0.692456982321031,0.000999000999000999
"OTU789 ",0,1,0,2,0.597775202969708,0.000999000999000999
"OTU800 ",0,0,1,3,0.671123439116251,0.000999000999000999
"OTU819 ",1,0,0,1,0.783144328367806,0.000999000999000999
"OTU864 ",0,1,0,2,0.719085851112954,0.000999000999000999
"OTU865 ",0,1,0,2,0.664893287737873,0.000999000999000999
"OTU871 ",1,0,0,1,0.714357660176183,0.000999000999000999
"OTU872 ",0,0,1,3,0.662022671860161,0.000999000999000999
"OTU884 ",0,0,1,3,0.610302932832106,0.000999000999000999
"OTU885 ",0,0,1,3,0.694456956767214,0.000999000999000999
"OTU903 ",0,0,1,3,0.722874005655554,0.000999000999000999
"OTU905 ",0,0,1,3,0.810286632848998,0.000999000999000999
"OTU911 ",0,0,1,3,0.607424263113061,0.000999000999000999
"OTU920 ",0,0,1,3,0.723131955982464,0.000999000999000999
"OTU921 ",1,0,0,1,0.626814180778458,0.000999000999000999
"OTU933 ",1,0,0,1,0.684832723816756,0.000999000999000999
"OTU965 ",1,0,0,1,0.643068394297278,0.000999000999000999
"OTU989 ",1,0,0,1,0.696000361170276,0.000999000999000999
"OTU1010",0,1,0,2,0.604252356864669,0.000999000999000999
"OTU1016",0,1,0,2,0.678809280835973,0.000999000999000999
"OTU1038",0,1,0,2,0.774629225888183,0.000999000999000999
"OTU1047",0,0,1,3,0.63583876201051,0.000999000999000999
"OTU1058",0,1,0,2,0.62749643944555,0.000999000999000999
"OTU1065",0,1,0,2,0.594882502279432,0.000999000999000999
"OTU1068",0,1,0,2,0.767151623132088,0.000999000999000999
"OTU1070",0,1,0,2,0.743878371253105,0.000999000999000999
"OTU1072",0,1,0,2,0.67947424412235,0.000999000999000999
"OTU1074",0,1,0,2,0.692705607890112,0.000999000999000999
"OTU1076",0,1,0,2,0.626965303006874,0.000999000999000999
"OTU1078",0,1,0,2,0.619853849927315,0.000999000999000999
"OTU1081",0,1,0,2,0.614888206651324,0.000999000999000999
"OTU1095",0,0,1,3,0.696891468734339,0.000999000999000999
"OTU1119",0,0,1,3,0.71117718210468,0.000999000999000999
"OTU1148",0,0,1,3,0.741823654990444,0.000999000999000999
